area,epoch,flash_n,mag_ratio_mean,mag_ratio_sem,angle_deg_mean,angle_deg_sem,n_sessions
VISal,active,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
VISal,active,2,1.4343103280790939,0.06190581982077998,20.476054077786483,0.7814224960384645,3
VISal,active,3,1.4656774476461942,0.10731851071706931,21.03540976084191,1.488347977818299,3
VISal,active,4,1.4297651940108667,0.13683618266686418,26.712105677382244,4.710472102233552,3
VISal,active,5,1.3598185623317995,0.1722050264587006,27.699830544257434,5.340499450185341,3
VISal,active,6,1.321590705004583,0.1792334908513959,27.82773252716585,5.407722923823201,3
VISal,active,7,1.2860846979602052,0.1863036915473111,27.111226309986122,4.634863393528985,3
VISal,active,8,1.2495843582804285,0.19853584141346683,25.385550609849336,3.6994645573512726,3
VISal,passive,1,1.0,0.0,0.0,0.0,3
VISal,passive,2,0.9918913934561832,0.0189180694395077,7.45163405379904,1.7836955620343578,3
VISal,passive,3,0.9540868835093121,0.014054800133420314,8.35687963708881,2.085949327324113,3
VISal,passive,4,0.9356819445788727,0.023901565647220947,8.129348612901897,1.3103178821755883,3
VISal,passive,5,0.9171445636089713,0.014220102438157774,9.59489501243497,1.561697928382957,3
VISal,passive,6,0.9158438712782063,0.02026958007934321,9.304152699720683,1.1549161561630064,3
VISal,passive,7,0.9093390970431491,0.017134677324230033,9.867038550254236,1.7955882996663686,3
VISal,passive,8,0.8986526038176575,0.013606032201398926,10.978890996877288,1.8009534169835006,3
VISam,active,1,1.0,0.0,6.870639719924424e-07,3.583800618224389e-07,3
VISam,active,2,1.2995599118670422,0.028918477322984987,47.041945301049964,4.359958688792134,3
VISam,active,3,1.2882248349732175,0.12023209500514706,55.18591115172959,6.79548191359902,3
VISam,active,4,1.3253685087608413,0.15564259916128417,58.356079600690485,9.136101214756932,3
VISam,active,5,1.2239855376836746,0.16609282450095814,58.20472460997937,9.005901551781712,3
VISam,active,6,1.233271860250935,0.18563443709379296,58.56393747059335,8.751186284489744,3
VISam,active,7,1.2200787280663405,0.15419225878446263,56.90884797256243,9.08526247182722,3
VISam,active,8,1.219347655217071,0.15530502700131882,57.19427371494816,10.605256344251258,3
VISam,passive,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
VISam,passive,2,0.9581316556197844,0.005579393730279426,10.473486459454245,1.843710603601831,3
VISam,passive,3,0.9293090098408019,0.02368573215278679,12.445923293946308,1.4083431642268336,3
VISam,passive,4,0.9230994806117973,0.033708641575981496,13.061476574594138,1.6451945302323465,3
VISam,passive,5,0.8691663724395152,0.03162346364426246,13.618264475600112,1.8613175616265585,3
VISam,passive,6,0.8803300056969898,0.026977755736926068,14.424841892252473,1.509255645297249,3
VISam,passive,7,0.8837150037048817,0.016461379418704646,15.070847885570595,1.014490719685122,3
VISam,passive,8,0.8789532394149181,0.027281397665009203,15.47611008413827,2.008988043754586,3
VISl,active,1,1.0,0.0,6.870639719924424e-07,3.583800618224389e-07,3
VISl,active,2,1.4039123930390591,0.1607075344795141,25.212902248020878,1.6994592276187612,3
VISl,active,3,1.419388192902719,0.2596542558486216,33.07241483209766,6.369875257984408,3
VISl,active,4,1.433770473918489,0.20220292278398228,35.965949753681,9.384308203158767,3
VISl,active,5,1.3702776500464633,0.22841063895179178,35.409139019791446,9.69516525953241,3
VISl,active,6,1.3704692688461961,0.2260068758726347,34.40302412915869,10.173177502361565,3
VISl,active,7,1.331783260458854,0.21868985815528347,33.70634219708521,10.109946793578851,3
VISl,active,8,1.3063119286929161,0.20890499620064157,32.748450394134395,10.543425671527228,3
VISl,passive,1,1.0,0.0,5.69182430834396e-07,2.845912154171979e-07,3
VISl,passive,2,0.9666646651542097,0.007432496261812522,6.319097680701574,1.2924349212103976,3
VISl,passive,3,0.9416469689527706,0.013026821360842879,7.530508422648015,1.4380575081524773,3
VISl,passive,4,0.9336163536066356,0.018330112943489848,8.31877503324601,1.350465115875393,3
VISl,passive,5,0.8954436582331559,0.019499629360625804,8.701858913571671,1.012429105854463,3
VISl,passive,6,0.901419566280203,0.01168121176736554,9.723077722062737,1.1001281392796585,3
VISl,passive,7,0.904882023706918,0.026976908878606123,10.267211073886775,1.0970821059157874,3
VISl,passive,8,0.8995842787758157,0.015827119619380197,10.648862145916121,1.179707128196777,3
VISp,active,1,1.0,0.0,0.0,0.0,3
VISp,active,2,1.4699318548346703,0.14913467480343356,21.524877936980914,5.206194032339065,3
VISp,active,3,1.6359549377123266,0.2989319380035512,26.682472489025443,8.247220612409272,3
VISp,active,4,1.6646720438633842,0.33831440439111904,28.603236839718004,8.96865106226067,3
