session_id,area,epoch,flash_n,n_units,n_events,mag_ratio,angle_deg
1055240613,VISrl,active,5,18,183,1.2024511716813246,31.987548707712183
1055240613,VISrl,active,6,18,183,1.3768038238165714,28.225376329836568
1055240613,VISrl,active,7,18,183,1.4140224172275222,30.513690044743402
1055240613,VISrl,active,8,18,183,1.279544514659498,32.048075802024215
1055240613,VISpm,active,1,39,184,1.0,0.0
1055240613,VISpm,active,2,39,184,2.4154721775287165,52.49831880698716
1055240613,VISpm,active,3,39,184,2.9869921690807555,59.690787354162474
1055240613,VISpm,active,4,39,184,3.178308017165417,60.39657884068391
1055240613,VISpm,active,5,39,183,3.048226718252456,64.1168429040561
1055240613,VISpm,active,6,39,183,2.939404852297768,60.15826943987355
1055240613,VISpm,active,7,39,183,2.6872554998453064,59.0791479691825
1055240613,VISpm,active,8,39,183,2.5165980419662177,58.32435223226782
1055240613,VISam,active,1,32,184,1.0,1.2074182697257333e-06
1055240613,VISam,active,2,32,184,1.3512323942671691,54.98687202617694
1055240613,VISam,active,3,32,184,1.4452812846691976,62.66532047996878
1055240613,VISam,active,4,32,184,1.611996898375197,67.72749056395408
1055240613,VISam,active,5,32,183,1.4887029706789652,67.17340350965107
1055240613,VISam,active,6,32,183,1.5671734680630665,67.19952664948885
1055240613,VISam,active,7,32,183,1.4693905403866419,65.1826476104392
1055240613,VISam,active,8,32,183,1.5051452370465632,66.70224117288433
1055240613,CA1,active,1,42,184,1.0,0.0
1055240613,CA1,active,2,42,184,0.7004283744703622,88.26522333949421
1055240613,CA1,active,3,42,184,0.47622946928059934,97.10169033023496
1055240613,CA1,active,4,42,184,0.30245963874941045,88.50894188282821
1055240613,CA1,active,5,42,183,0.4128268839287799,63.04442477231218
1055240613,CA1,active,6,42,183,0.3992651749315806,70.99564264503204
1055240613,CA1,active,7,42,183,0.48962673321274586,64.15518607316588
1055240613,CA1,active,8,42,183,0.7109154855132866,67.3630748490998
1055240613,DG,active,1,37,184,1.0,0.0
1055240613,DG,active,2,37,184,1.012031772809257,119.6921381611745
1055240613,DG,active,3,37,184,0.7203832572556126,88.88503322200017
1055240613,DG,active,4,37,184,0.5182187998324637,108.50817824262029
1055240613,DG,active,5,37,183,0.5598946581334345,72.8002209623138
1055240613,DG,active,6,37,183,0.4661176545925107,93.35821095817427
1055240613,DG,active,7,37,183,0.5652338087079748,76.15793116716627
1055240613,DG,active,8,37,183,0.6161296822742556,58.837961814525734
1055240613,ProS,active,1,55,184,1.0,8.537736462515939e-07
1055240613,ProS,active,2,55,184,0.5404272170800299,75.56556271083663
1055240613,ProS,active,3,55,184,0.6227497412742643,86.38077020254943
1055240613,ProS,active,4,55,184,0.43673617019321725,70.7788268073741
1055240613,ProS,active,5,55,183,0.45440136586862745,73.05937297104938
1055240613,ProS,active,6,55,183,0.410669289150661,62.13470338740447
1055240613,ProS,active,7,55,183,0.47613424977688684,53.88093756118412
1055240613,ProS,active,8,55,183,0.5497955890754169,65.09213439405238
1055240613,SCig,active,1,41,184,1.0,0.0
1055240613,SCig,active,2,41,184,0.7583226790197991,53.97209564470684
1055240613,SCig,active,3,41,184,0.4468897534303079,63.612235704245094
